Sentence,intent,entity_name_1,entity_value_1,entity_name_2,entity_value_2,entity_name_3,entity_value_3
I want to watch a horror movie in Colombo,inform,genre,horror,city,Colombo,,
I want 5 tickets for Avengers at 10.00 a.m,inform,numberofpeople,5,moviename,Avengers,starttime,10.00 a.m
What is the movie plays on Sunday at Redwood City 20,moviename,date,Sunday,theater,Redwood City 20,,
Is there any description,description,,,,,,
Who is the lead actress,actress,,,,,,
what is the available date and starttime at Big Picture in Seattle,date+starttime,theater,Big Picture,city,Seattle,,
I like to watch a comedy tomorrow,inform,genre,comedy,date,tomorrow,,
"I want to watch starwars, which theatre plays that ",theater,moviename,starwars,,,,
"I want to watch starwars, which theatre plays that in Colombo",theater,moviename,starwars,city,Colombo,,
Can you help me book 3 tickets at 3p.m tomorrow,ticket,numberofpeople,3,starttime,3p.m,date,tomorrow
What movie availble at Liberty at 10 a.m,moviename,theater,Liberty,starttime,10 a.m,,
What's the price,price,,,,,,
Can I know how many tickets are available,numberofpeople,,,,,,
What starttime is available for five tickets on Sunday,starttime,numberofpeople,five,date,Sunday,,
What's the genre of the movie Avengers,genre,moviename,Avengers,,,,
"price, please",price,,,,,,
What starttime and date is available to book 5 tickets for the movie batman,date+starttime,numberofpeople,5,moviename,batman,,
What theatre and start time available in Florida,theater+starttime,city,Florida,,,,
"Good bye, take care",thanks,,,,,,
I want to watch a Comedy tomorrow evening,inform,genre,Comedy,date,tomorrow,starttime,evening
What the available show time for Deadpool at Citycenter theater,theater,moviename,Deadpool,theater,Citycenter,,
"Yeah, that is fine",confirm_answer,,,,,,
I hope you can book five movie tickets on tomorrow,inform,numberofpeople,five,date,tomorrow,,
What the available theaters in Colombo,theater,city,Colombo,,,,
Thank you for your service.,thanks,,,,,,
What is the movie showing at 6.00pm at Citycenter theater tomorrow,moviename,starttime,6.00pm,theater,Citycenter,date,tomorrow
"yeah, that will work",confirm_answer,,,,,,
What are the available theaters for Avengers movie,theater,moviename,Avengers,,,,
"Hi, good evening",greeting,,,,,,
Can you give a date and a start time for Ironman at liberty theater,date+starttime,moviename,Ironman,theater,liberty,,
What are the show times at liberty theater,starttime,theater,liberty,,,,
I need to buy three movie tickets for Antman movie,inform,numberofpeople,three,moviename,Antman,,
Who is the main actor,actor,,,,,,
"Nope, that is not what I want",deny,,,,,,
I am planning to watch the Tenet movie day after tomorrow,inform,date,day after tomorrow,moviename,Tenet,,
what  are the action movies showing at 2.00pm,moviename,genre,action,starttime,2.00pm,,
"Bye, thank you",thanks,,,,,,
Can you suggest a theater and start time for sherlock holmes,theater+starttime,moviename,sherlock holmes,,,,
"Sorry, that won't work for me",deny,,,,,,
"Yeah, that is better",confirm_answer,,,,,,
What are the show time at new plaza theater,starttime,theater,new plaza,,,,
Can you sugget a movie to watch playing at 12.00pm,moviename,starttime,12.00pm,,,,
never,deny,,,,,,
what is the price of a ticket at Regal theater,price,theater,,,,,
what are the movies showing at scope theater,moviename,theater,scope,,,,
"yup, that is what I want",confirm_answer,,,,,,
which time does new liberty theater showing the spiderman movie,starttime,moviename,spiderman,theater,new liberty,,
great,confirm_answer,,,,,,
